"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","label_gene","significance","modality"
0.000151379716679233,0.125702801232684,0.375,0.375,1,"PXDC1",NA,"NS","transcripts"
0.000157598575808164,0.412360606340999,0.875,1,1,"IL23R",NA,"NS","transcripts"
0.000165088686215035,0.311012175600632,0.875,1,1,"ARHGEF39",NA,"NS","transcripts"
0.000165554377216516,1.00982830338004,1,1,1,"AQP3",NA,"NS","transcripts"
0.000167742693797441,0.0742012922497217,0.375,0.25,1,"ELFN1",NA,"NS","transcripts"
0.000176959319753737,0.058321877664941,0.25,0.375,1,"TRNP1",NA,"NS","transcripts"
0.000182655738428087,0.295958734187147,1,1,1,"DYNLT3",NA,"NS","transcripts"
0.000182939408705491,0.35327577820466,1,1,1,"GPR65",NA,"NS","transcripts"
0.00019340716001328,-1.11253545647882,1,1,1,"AIF1",NA,"NS","transcripts"
0.000196776346525015,0.375410115449821,0.625,0.875,1,"NEFL",NA,"NS","transcripts"
0.000196973648969218,1.28554155963099,1,1,1,"FURIN",NA,"NS","transcripts"
0.000200844899460564,-1.23317500058024,0.75,1,1,"ADGRG1",NA,"NS","transcripts"
0.000202211286360147,0.0717704023730863,0.25,0.25,1,"TEX48",NA,"NS","transcripts"
0.000205111135560446,0.18582974842424,0.75,1,1,"SCRN1",NA,"NS","transcripts"
0.00021736468655416,0.486709075509005,1,1,1,"CD28",NA,"NS","transcripts"
0.000220557018815214,0.0256002799354915,0.375,0.75,1,"RSPH14",NA,"NS","transcripts"
0.000227409241333517,0.271730235568663,0.875,1,1,"PLD1",NA,"NS","transcripts"
0.000247569548198843,0.566913003082871,1,1,1,"SETD7",NA,"NS","transcripts"
0.000260789572824962,0.510447400500598,1,1,1,"PPP1R14B",NA,"NS","transcripts"
0.000263029706877534,0.489002632381058,1,1,1,"SORBS3",NA,"NS","transcripts"
0.000282733961848497,0.279948900696229,1,1,1,"ALG12",NA,"NS","transcripts"
0.000291499341632585,0.0892904973506838,0.125,0.375,1,"MYEOV",NA,"NS","transcripts"
0.000293268551907454,-0.761381472181432,0.875,1,1,"CEP78",NA,"NS","transcripts"
0.000305368242723831,0.071086614955139,0.375,0.75,1,"CFAP157",NA,"NS","transcripts"
0.000307999381801606,0.0639912225190384,0.5,1,1,"PIK3R6",NA,"NS","transcripts"
0.000313229838482482,0.0573311635761415,0.25,0.375,1,"GPR3",NA,"NS","transcripts"
0.00031448219322167,0.56555512693053,1,1,1,"SLAMF1",NA,"NS","transcripts"
0.000336179331960748,0.283834959678027,0.75,1,1,"ADAM12",NA,"NS","transcripts"
0.00035359124424455,0.634675525814031,1,1,1,"ERN1",NA,"NS","transcripts"
0.000383795867209337,0.479233088286138,1,1,1,"HPGD",NA,"NS","transcripts"
0.000394680872111679,0.607428924235049,0.875,1,1,"GNA15",NA,"NS","transcripts"
0.000418512982313114,0.0299908569817147,0.25,0.75,1,"NID2",NA,"NS","transcripts"
0.000438841181226663,0.203135704674604,1,1,1,"ARL4C",NA,"NS","transcripts"
0.000449821932700634,0.029428363630736,0.25,0.375,1,"NNMT",NA,"NS","transcripts"
0.00045663085957385,0.0599456876258015,0.25,0.375,1,"ARHGEF17",NA,"NS","transcripts"
0.000460235515871224,0.0274248790688341,0.25,0.625,1,"KIAA1614",NA,"NS","transcripts"
0.000485501540526013,0.0574443899434196,0.125,0.375,1,"ADCY5",NA,"NS","transcripts"
0.000526985968655592,0.377637269775681,0.75,1,1,"RORC",NA,"NS","transcripts"
0.000547205271285355,0.538127068800782,0.5,0.75,1,"CCL20",NA,"NS","transcripts"
0.00055465430400005,-0.253176842075275,0,1,1,"NUAK1",NA,"NS","transcripts"
0.000574807854365745,0.0561919258583576,0.25,0.875,1,"TMEM151A",NA,"NS","transcripts"
0.000587012609092846,0.0335363872594288,0.25,0.875,1,"AKAP12",NA,"NS","transcripts"
0.00059889247747915,-0.35111587690479,0.375,1,1,"CTBP2",NA,"NS","transcripts"
0.00060377548226042,0.0121293545391423,0.25,0.75,1,"BTBD8",NA,"NS","transcripts"
0.000609340386935141,0.0324603476965799,0.125,0.375,1,"PCDHGA7",NA,"NS","transcripts"
0.00061172226467951,-0.443132619078897,0.5,1,1,"CDHR3",NA,"NS","transcripts"
0.000617003170213847,0.0327947891099893,0.125,0.375,1,"RPGRIP1",NA,"NS","transcripts"
0.000619843755599245,0.349091052476064,1,1,1,"DEGS1",NA,"NS","transcripts"
0.000670032097443518,0.047651347321076,0.125,0.625,1,"C2CD4A",NA,"NS","transcripts"
0.000697580284342305,-1.00541728443826,0.875,1,1,"SOX4",NA,"NS","transcripts"
0.000699406459408223,-0.664762235555027,0.625,1,1,"DTHD1",NA,"NS","transcripts"
0.000724687983165369,0.0326798897932243,0.25,0.625,1,"STRC",NA,"NS","transcripts"
0.000735206360677828,0.0192377951327876,0.25,0.125,1,"MAMDC2",NA,"NS","transcripts"
0.000738825580169015,0.0251689667600106,0.125,0.375,1,"DNAH17",NA,"NS","transcripts"
0.000739489040089088,0.0250810204351435,0.125,0.375,1,"RNF217",NA,"NS","transcripts"
0.000743947806299896,0.199981011895317,1,1,1,"SEC61B",NA,"NS","transcripts"
0.000778554011055298,-0.657578718448863,0.625,1,1,"LRRN3",NA,"NS","transcripts"
0.000780014608789162,0.309476109309716,0.875,1,1,"SCART1",NA,"NS","transcripts"
0.000812903584118136,0.477719062025059,1,1,1,"DUSP16",NA,"NS","transcripts"
0.000817698619315889,0.0169994362007206,0.25,0.375,1,"C2orf50",NA,"NS","transcripts"
0.000844898705663115,-0.228277005857301,0,1,1,"NRCAM",NA,"NS","transcripts"
0.000856007297606197,0.0643146638799288,0.25,0.875,1,"NEFM",NA,"NS","transcripts"
0.000911032915542418,0.0967773294248784,0.5,0.875,1,"GREM2",NA,"NS","transcripts"
0.000948070750514087,0.0264002411210726,0.25,0.625,1,"KCNT1",NA,"NS","transcripts"
0.000948893869824906,-0.990833357343882,0.875,1,1,"TOX",NA,"NS","transcripts"
0.000969104717064087,0.301352283842031,1,1,1,"SEC11C",NA,"NS","transcripts"
0.000989468354448602,0.025180071605444,0.25,0.875,1,"UNC79",NA,"NS","transcripts"
0.000991981509993253,0.349830638629257,1,1,1,"IL18R1",NA,"NS","transcripts"
0.00102539631164767,-0.65837749274948,0.625,1,1,"S100A8",NA,"NS","transcripts"
0.0010352655123105,0.397692896730786,0.875,1,1,"NEO1",NA,"NS","transcripts"
0.00107951373799753,-0.252419233784666,0.5,1,1,"PLAG1",NA,"NS","transcripts"
0.00109911620913718,0.0152357754314614,0.25,0.25,1,"SEC14L6",NA,"NS","transcripts"
0.00117087673078154,0.0639827752899946,0.25,0.75,1,"PSD3",NA,"NS","transcripts"
0.00119601785218237,0.586885663710672,1,1,1,"TNFRSF25",NA,"NS","transcripts"
0.00119797565375135,0.0122220892276559,0.125,0.5,1,"IFNA5",NA,"NS","transcripts"
0.00121241166133304,0.0615808157577717,0.125,0.875,1,"PKP2",NA,"NS","transcripts"
0.00121487402228622,0.0113213771052711,0.125,0.625,1,"PRICKLE1",NA,"NS","transcripts"
0.00121597018389805,-0.266517486333584,0,1,1,"CCR9",NA,"NS","transcripts"
0.00121868504106808,0.0269683721810146,0.125,0.375,1,"DNAH7",NA,"NS","transcripts"
0.00125775805491764,0.252551003745711,1,1,1,"SNTA1",NA,"NS","transcripts"
0.00126283487076768,0.400415507662791,1,1,1,"ATF7IP2",NA,"NS","transcripts"
0.00128132694950482,0.00795275712228927,0.125,0.75,1,"PLEKHH1",NA,"NS","transcripts"
0.0012951730050159,0.0516552176684417,0.375,1,1,"GNB3",NA,"NS","transcripts"
0.00129522400743381,-0.305045282065538,0.125,1,1,"PALLD",NA,"NS","transcripts"
0.0012988581710239,0.012999487787261,0.25,0.5,1,"FHOD3",NA,"NS","transcripts"
0.00130015604453065,0.031378899170011,0.125,0.5,1,"DNAH11",NA,"NS","transcripts"
0.00130677654149324,0.018977789752836,0.25,0.75,1,"IGSF11",NA,"NS","transcripts"
0.00133102794038053,0.318098806717938,1,1,1,"SORL1",NA,"NS","transcripts"
0.00133993464093236,0.0420750035860844,0.125,0.625,1,"RSPH9",NA,"NS","transcripts"
0.00136526822163521,0.0507044842277868,0.375,0.875,1,"ITPKA",NA,"NS","transcripts"
0.00136637959232975,0.0196102103426852,0.25,0.75,1,"XK",NA,"NS","transcripts"
0.00137216477365506,-0.757542954488129,0.875,1,1,"ASCL2",NA,"NS","transcripts"
0.00138880713844945,0.0546010677384867,0.25,0.875,1,"ARSJ",NA,"NS","transcripts"
0.00140159654133662,-0.416042732276075,0.375,1,1,"NCR1",NA,"NS","transcripts"
0.00143081139300994,0.0260296425816562,0.125,0.25,1,"CELA2A",NA,"NS","transcripts"
0.00150040412959356,-0.805791136354322,1,1,1,"ZEB2",NA,"NS","transcripts"
0.00155723754160263,0.0468390761464379,0.125,0.625,1,"LARGE1",NA,"NS","transcripts"
0.00156312664049436,0.137638230431416,1,1,1,"RPL8",NA,"NS","transcripts"
0.00158582061895095,0.0126332591841152,0.125,0.375,1,"CFAP99",NA,"NS","transcripts"
0.00159627507320829,0.0268196706692843,0.125,0.375,1,"LY75-CD302",NA,"NS","transcripts"
0.00159759914706542,0.012870366767225,0.125,0.375,1,"PCDHGB3",NA,"NS","transcripts"
0.00160023140538717,0.0128468369769035,0.125,0.375,1,"RIMBP3B",NA,"NS","transcripts"
0.00160092745750322,0.012897534631275,0.125,0.375,1,"CAV2",NA,"NS","transcripts"
0.00160652090583665,0.0127990264685098,0.125,0.375,1,"LARP6",NA,"NS","transcripts"
0.00161205265257045,0.0418144929607136,0.125,0.625,1,"ADRA2A",NA,"NS","transcripts"
0.00162992719397449,0.149301941320379,0.75,1,1,"ST6GALNAC2",NA,"NS","transcripts"
